ticket_id,created_at,channel,category,subcategory,priority,assigned_agent_id,first_response_at,resolved_at,status,requester_type,sla_policy_id,first_response_mins,resolution_mins,sla_first_response_met,sla_resolution_met
T000001,12-01-2026 13:00,Email,Bug,UI Bug,P4,A013,12-01-2026 20:08,14-01-2026 14:02,Resolved,Customer,SLA_P4,428,2942,TRUE,TRUE
T000002,03-02-2026 12:02,Email,Access & Login,MFA Issue,P3,A013,03-02-2026 15:20,05-02-2026 15:23,Resolved,Customer,SLA_P3,198,3081,TRUE,FALSE
T000003,15-12-2025 10:36,Phone,Bug,UI Bug,P2,A003,15-12-2025 10:53,15-12-2025 21:57,Resolved,Customer,SLA_P2,17,681,TRUE,TRUE
T000004,19-12-2025 18:02,Chat,Bug,Integration Error,P3,A010,19-12-2025 19:56,21-12-2025 17:28,Resolved,Customer,SLA_P3,114,2846,TRUE,TRUE
T000005,16-12-2025 20:22,Web,Access & Login,SSO Setup,P3,A005,17-12-2025 00:23,18-12-2025 08:40,Resolved,Customer,SLA_P3,241,2178,FALSE,TRUE
T000006,12-02-2026 18:23,Email,Access & Login,MFA Issue,P2,A002,12-02-2026 18:49,13-02-2026 06:34,Resolved,Internal,SLA_P2,26,731,TRUE,FALSE
T000007,20-12-2025 09:40,Chat,How-To,Feature Guidance,P4,A007,20-12-2025 13:34,22-12-2025 15:09,Resolved,Customer,SLA_P4,234,3209,TRUE,TRUE
T000008,10-02-2026 13:57,Email,Outage,Service Down,P2,A007,10-02-2026 15:02,10-02-2026 22:20,Resolved,Partner,SLA_P2,65,503,FALSE,TRUE
T000009,30-12-2025 22:51,Email,Access & Login,MFA Issue,P3,A014,31-12-2025 00:02,01-01-2026 22:40,Resolved,Customer,SLA_P3,71,2869,TRUE,TRUE
T000010,16-01-2026 19:32,Web,How-To,Report Setup,P4,A005,17-01-2026 05:29,19-01-2026 16:59,Resolved,Internal,SLA_P4,597,4167,FALSE,TRUE
T000011,21-01-2026 15:19,Email,Bug,UI Bug,P2,A005,21-01-2026 16:27,21-01-2026 19:58,Resolved,Customer,SLA_P2,68,279,FALSE,TRUE
T000012,01-01-2026 23:59,Chat,Bug,Integration Error,P2,A003,02-01-2026 00:19,02-01-2026 09:23,Resolved,Customer,SLA_P2,20,564,TRUE,TRUE
T000013,10-02-2026 12:19,Chat,Outage,Service Down,P2,A009,10-02-2026 12:59,10-02-2026 16:39,Resolved,Customer,SLA_P2,40,260,TRUE,TRUE
T000014,03-02-2026 23:40,Email,How-To,Feature Guidance,P3,A005,04-02-2026 00:54,05-02-2026 06:54,Resolved,Internal,SLA_P3,74,1874,TRUE,TRUE
T000015,17-01-2026 05:48,Chat,How-To,Report Setup,P4,A002,17-01-2026 08:06,18-01-2026 07:23,Resolved,Customer,SLA_P4,138,1535,TRUE,TRUE
T000016,16-01-2026 19:23,Phone,Billing,Refund,P4,A010,16-01-2026 23:15,18-01-2026 19:05,Resolved,Internal,SLA_P4,232,2862,TRUE,TRUE
T000017,01-01-2026 10:55,Email,Bug,Integration Error,P4,A015,01-01-2026 20:13,04-01-2026 13:57,Resolved,Customer,SLA_P4,558,4502,FALSE,TRUE
T000018,21-12-2025 23:00,Email,How-To,Feature Guidance,P4,A014,22-12-2025 08:13,25-12-2025 02:46,Resolved,Internal,SLA_P4,553,4546,FALSE,TRUE
T000019,20-12-2025 16:01,Email,How-To,API Usage,P3,A003,20-12-2025 20:33,21-12-2025 12:05,Resolved,Customer,SLA_P3,272,1204,FALSE,TRUE
T000020,12-02-2026 21:09,Web,Access & Login,SSO Setup,P2,A003,12-02-2026 21:59,13-02-2026 11:02,Resolved,Customer,SLA_P2,50,833,TRUE,FALSE
T000021,28-12-2025 18:42,Chat,Bug,Data Mismatch,P4,A003,29-12-2025 01:25,29-12-2025 08:55,Resolved,Customer,SLA_P4,403,853,TRUE,TRUE
T000022,10-01-2026 00:43,Web,Billing,Invoice Request,P3,A008,10-01-2026 05:25,11-01-2026 17:56,Resolved,Customer,SLA_P3,282,2473,FALSE,TRUE
T000023,23-01-2026 18:31,Email,Bug,Integration Error,P2,A002,23-01-2026 19:19,24-01-2026 15:50,Resolved,Customer,SLA_P2,48,1279,TRUE,FALSE
T000024,25-12-2025 21:18,Phone,How-To,API Usage,P3,A010,25-12-2025 22:38,26-12-2025 13:31,Resolved,Customer,SLA_P3,80,973,TRUE,TRUE
T000025,21-12-2025 13:10,Chat,How-To,API Usage,P4,A010,21-12-2025 16:07,23-12-2025 18:11,Resolved,Customer,SLA_P4,177,3181,TRUE,TRUE
T000026,31-12-2025 10:40,Email,How-To,Feature Guidance,P4,A015,31-12-2025 14:12,02-01-2026 21:04,Resolved,Customer,SLA_P4,212,3504,TRUE,TRUE
T000027,21-12-2025 07:36,Phone,Access & Login,SSO Setup,P3,A014,21-12-2025 09:18,22-12-2025 09:11,Resolved,Customer,SLA_P3,102,1535,TRUE,TRUE
T000028,16-01-2026 10:00,Email,Access & Login,Password Reset,P3,A008,16-01-2026 13:09,18-01-2026 08:19,Resolved,Customer,SLA_P3,189,2779,TRUE,TRUE
T000029,24-01-2026 20:13,Web,Access & Login,MFA Issue,P3,A003,25-01-2026 01:42,27-01-2026 20:32,Resolved,Internal,SLA_P3,329,4339,FALSE,FALSE
T000030,31-12-2025 22:28,Email,Access & Login,Password Reset,P4,A002,01-01-2026 05:28,01-01-2026 13:30,Resolved,Customer,SLA_P4,420,902,TRUE,TRUE
T000031,18-12-2025 02:49,Web,How-To,Feature Guidance,P4,A012,18-12-2025 08:48,21-12-2025 04:33,Resolved,Partner,SLA_P4,359,4424,TRUE,TRUE
T000032,03-01-2026 09:14,Web,Billing,Refund,P3,A004,03-01-2026 12:08,03-01-2026 21:36,Resolved,Customer,SLA_P3,174,742,TRUE,TRUE
T000033,30-12-2025 23:42,Email,Billing,Payment Failed,P3,A005,31-12-2025 01:35,01-01-2026 09:40,Resolved,Customer,SLA_P3,113,2038,TRUE,TRUE
T000034,24-01-2026 06:00,Chat,Bug,Integration Error,P4,A008,24-01-2026 12:32,26-01-2026 04:39,Resolved,Customer,SLA_P4,392,2799,TRUE,TRUE
T000035,23-01-2026 03:43,Email,Access & Login,MFA Issue,P4,A011,23-01-2026 09:51,27-01-2026 14:36,Resolved,Customer,SLA_P4,368,6413,TRUE,FALSE
T000036,21-01-2026 07:29,Email,Access & Login,SSO Setup,P4,A003,21-01-2026 16:39,25-01-2026 01:33,Resolved,Partner,SLA_P4,550,5404,FALSE,TRUE
T000037,01-02-2026 01:16,Web,Bug,UI Bug,P3,A002,01-02-2026 03:52,03-02-2026 18:03,Resolved,Customer,SLA_P3,156,3887,TRUE,FALSE
T000038,12-01-2026 13:20,Chat,How-To,Feature Guidance,P4,A004,12-01-2026 16:53,15-01-2026 15:56,Resolved,Internal,SLA_P4,213,4476,TRUE,TRUE
T000039,19-01-2026 23:24,Email,Bug,Integration Error,P3,A012,20-01-2026 03:31,21-01-2026 19:35,Resolved,Customer,SLA_P3,247,2651,FALSE,TRUE
T000040,22-01-2026 01:40,Email,Access & Login,Password Reset,P3,A002,22-01-2026 03:33,23-01-2026 15:24,Resolved,Customer,SLA_P3,113,2264,TRUE,TRUE
